x1,y1,x2,y2
94,79,153,128
84,74,143,123
84,74,143,123
84,74,143,123
84,74,143,123
89,86,130,120
89,86,130,120
89,86,130,120
89,86,130,120
89,85,130,119
89,85,130,119
88,85,129,119
88,85,129,119
88,85,129,119
88,85,129,119
88,84,128,118
88,84,129,118
88,84,128,118
88,84,128,117
88,84,128,118
88,84,128,118
88,84,129,118
88,84,128,118
88,84,128,118
88,84,129,118
88,84,129,118
88,85,128,119
88,85,128,119
88,85,128,118
88,85,128,119
88,85,128,118
88,85,128,118
88,85,129,119
88,86,129,120
86,86,127,120
86,85,127,119
86,86,127,120
86,85,127,119
87,86,127,120
86,86,126,120
87,85,127,118
87,86,127,119
87,85,127,118
87,85,127,118
87,85,127,119
87,85,127,118
87,85,127,119
87,85,127,118
87,85,127,118
87,85,126,118
87,85,126,118
87,85,126,118
87,85,126,118
87,85,126,118
87,85,126,118
87,85,127,118
87,86,127,119
86,86,126,119
86,85,126,118
86,85,126,118
86,85,126,118
86,85,126,118
86,85,126,118
86,85,125,118
86,85,125,118
87,85,126,117
97,89,131,117
85,85,127,120
84,85,126,120
86,86,124,118
184,81,212,105
186,84,210,104
138,56,162,76
137,55,161,75
137,55,161,75
137,55,161,75
137,55,161,75
137,54,161,74
137,55,161,75
137,53,161,73
137,53,161,73
136,54,160,74
135,53,159,73
135,54,159,74
135,53,159,73
135,53,159,73
135,54,159,74
135,53,159,73
97,86,131,114
62,74,111,115
61,74,111,115
61,74,111,116
95,86,129,114
95,86,129,114
95,86,129,115
94,87,128,115
94,86,128,114
94,86,128,115
94,86,129,115
94,85,129,114
94,86,129,115
94,85,129,114
94,85,128,114
94,84,129,113
93,85,127,114
94,84,129,113
93,84,127,113
93,84,128,113
93,84,128,113
93,84,128,113
93,84,128,113
93,83,127,112
93,83,127,111
93,83,127,111
136,42,160,62
140,44,164,64
140,43,163,62
140,43,164,63
138,44,162,64
242,96,266,116
69,77,103,105
94,92,118,112
240,96,264,116
240,96,264,116
242,96,266,116
242,96,266,116
216,82,240,102
216,82,240,102
216,82,239,101
218,84,242,104
216,84,240,104
92,89,126,117
91,89,126,118
218,86,242,106
218,85,242,105
218,86,242,106
217,86,241,106
220,86,244,106
220,86,244,106
64,69,123,118
59,69,118,118
220,86,244,106
222,86,246,106
50,64,135,135
94,98,118,118
94,98,117,117
94,98,118,118
94,97,118,117
100,89,134,117
89,89,123,117
89,88,123,116
89,88,123,116
97,86,131,114
97,84,131,112
97,83,131,112
95,83,129,111
95,83,129,111
94,82,128,110
95,82,129,110
95,82,129,110
95,82,129,110
95,82,129,110
95,82,129,110
95,81,129,109
95,81,129,109
95,80,129,108
95,80,129,108
95,81,129,110
95,81,130,110
82,79,123,113
83,79,124,113
97,83,131,111
95,83,129,111
96,92,120,112
95,83,129,111
95,83,129,111
95,83,129,111
94,82,128,110
95,83,129,111
94,82,129,111
94,81,129,110
94,82,129,111
94,82,129,111
94,83,129,112
96,92,120,112
95,91,119,111
