x1,y1,x2,y2
269,75,303,139
266,75,300,139
262,82,296,146
270,84,304,148
268,82,302,146
265,79,299,143
265,77,299,141
262,77,296,141
261,77,295,141
261,75,295,139
262,74,296,138
257,61,291,125
256,60,290,124
254,60,288,124
253,63,287,127
250,72,284,136
256,73,290,137
248,75,282,139
242,74,276,138
239,75,273,139
237,78,271,142
243,81,277,145
240,82,274,146
238,80,272,144
243,82,277,146
232,75,266,139
234,69,268,133
234,71,268,135
240,66,274,130
253,82,287,146
251,80,285,144
243,79,277,143
245,79,279,143
246,79,280,143
240,78,274,142
235,77,269,141
228,79,262,143
222,80,256,144
218,72,252,136
222,59,256,123
220,69,254,133
221,73,255,137
225,77,259,141
231,86,265,150
235,86,269,150
231,90,265,154
227,90,261,154
235,91,269,155
239,91,273,155
239,91,273,155
238,92,272,156
238,87,272,151
247,95,281,159
251,95,285,159
248,95,282,159
240,95,274,159
234,94,268,158
226,93,260,157
218,94,252,158
214,91,248,155
226,90,260,154
223,87,257,151
224,87,258,151
223,87,257,151
221,85,255,149
221,80,255,144
221,81,255,145
224,77,258,141
225,82,259,146
227,89,261,153
231,92,265,156
234,90,268,154
233,90,267,154
231,88,265,152
235,94,269,158
237,94,271,158
242,95,276,159
240,95,274,159
241,90,275,154
239,95,273,159
243,89,277,153
245,93,279,157
248,100,282,164
251,102,285,166
256,105,290,169
250,105,284,169
246,98,280,162
245,98,279,162
243,97,277,161
241,95,275,159
235,93,269,157
230,91,264,155
227,89,261,153
229,89,263,153
232,91,266,155
237,91,271,155
243,95,277,159
253,100,287,164
250,102,284,166
253,92,287,156
255,96,289,160
259,98,293,162
262,96,296,160
261,95,295,159
254,90,288,154
248,78,282,142
234,82,268,146
225,84,259,148
220,80,254,144
214,82,248,146
216,81,250,145
215,80,249,144
213,75,247,139
215,75,249,139
220,80,254,144
224,80,258,144
228,83,262,147
230,80,264,144
239,88,273,152
234,81,268,145
240,82,274,146
248,83,282,147
257,88,291,152
267,89,301,153
273,90,307,154
277,91,311,155
280,86,314,150
286,88,320,152
296,92,330,156
296,93,330,157
296,94,330,158
297,90,331,154
301,91,335,155
305,90,339,154
308,97,342,161
314,100,348,164
317,102,351,166
314,98,348,162
317,102,351,166
306,94,340,158
303,95,337,159
303,97,337,161
293,98,327,162
286,93,320,157
293,94,327,158
299,87,333,151
289,87,323,151
277,82,311,146
279,85,313,149
284,86,318,150
278,91,312,155
283,90,317,154
279,86,313,150
284,86,318,150
293,89,327,153
293,92,327,156
292,91,326,155
297,86,331,150
308,91,342,155
315,91,349,155
301,80,335,144
301,87,335,151
310,93,344,157
306,90,340,154
306,87,340,151
313,91,347,155
303,86,337,150
304,93,338,157
297,82,331,146
306,92,340,156
302,91,336,155
299,86,333,150
300,85,334,149
302,84,336,148
312,88,346,152
311,92,345,156
317,92,351,156
318,93,352,157
320,93,354,157
322,92,356,156
323,91,357,155
322,90,356,154
324,90,358,154
327,89,361,153
335,85,369,149
335,94,369,158
334,93,368,157
334,93,368,157
335,89,369,153
337,91,371,155
339,92,373,156
339,93,373,157
341,93,375,157
341,92,375,156
343,92,377,156
345,91,379,155
345,92,379,156
348,91,382,155
352,90,386,154
356,99,390,163
359,101,393,165
361,96,395,160
361,103,395,167
361,103,395,167
358,106,392,170
354,105,388,169
350,105,384,169
345,106,379,170
340,105,374,169
337,105,371,169
334,106,368,170
334,103,368,167
334,108,368,172
333,108,367,172
332,108,366,172
334,103,368,167
335,107,369,171
337,109,371,173
339,109,373,173
342,109,376,173
344,109,378,173
345,109,379,173
346,109,380,173
347,110,381,174
349,110,383,174
352,106,386,170
354,112,388,176
353,112,387,176
355,104,389,168
355,109,389,173
355,110,389,174
354,111,388,175
353,111,387,175
352,110,386,174
351,110,385,174
351,110,385,174
351,109,385,173
353,111,387,175
356,110,390,174
358,108,392,172
360,109,394,173
364,113,398,177
365,109,399,173
367,113,401,177
370,113,404,177
372,113,406,177
375,113,409,177
375,113,409,177
373,113,407,177
369,112,403,176
367,112,401,176
369,113,403,177
370,110,404,174
371,113,405,177
370,113,404,177
370,111,404,175
370,109,404,173
368,109,402,173
367,110,401,174
363,109,397,173
360,109,394,173
359,107,393,171
357,107,391,171
352,105,386,169
350,105,384,169
350,105,384,169
349,104,383,168
350,104,384,168
351,102,385,166
353,100,387,164
353,106,387,170
347,104,381,168
347,107,381,171
348,109,382,173
355,112,389,176
358,113,392,177
360,112,394,176
361,108,395,172
362,113,396,177
364,111,398,175
365,114,399,178
359,112,393,176
361,112,395,176
361,112,395,176
362,115,396,179
364,115,398,179
366,116,400,180
365,112,399,176
368,114,402,178
381,116,415,180
385,113,419,177
391,109,425,173
397,111,431,175
