x1,y1,x2,y2
269,75,303,139
266,74,300,138
262,71,296,135
268,83,302,147
265,82,299,146
260,80,294,144
257,80,291,144
254,80,288,144
261,81,295,145
257,79,291,143
252,77,286,141
248,75,282,139
245,71,279,135
245,70,279,134
252,65,286,129
252,64,286,128
243,64,277,128
242,83,276,147
242,74,276,138
232,77,266,141
231,78,265,142
229,69,263,133
237,82,271,146
237,81,271,145
232,85,266,149
227,80,261,144
227,78,261,142
236,68,270,132
239,68,273,132
242,66,276,130
244,64,278,128
243,62,277,126
242,61,276,125
240,61,274,125
235,61,269,125
230,63,264,127
227,63,261,127
221,62,255,126
218,63,252,127
231,77,265,141
232,76,266,140
232,67,266,131
231,67,265,131
229,69,263,133
229,71,263,135
231,72,265,136
230,74,264,138
232,76,266,140
233,77,267,141
235,77,269,141
235,77,269,141
240,76,274,140
244,81,278,145
240,79,274,143
236,78,270,142
226,79,260,143
223,79,257,143
219,78,253,142
218,76,252,140
217,75,251,139
216,73,250,137
217,71,251,135
218,70,252,134
220,71,254,135
220,70,254,134
222,71,256,135
228,74,262,138
229,72,263,136
228,74,262,138
228,73,262,137
227,76,261,140
228,78,262,142
231,76,265,140
229,77,263,141
230,78,264,142
232,78,266,142
235,79,269,143
238,81,272,145
240,83,274,147
247,83,281,147
250,83,284,147
251,84,285,148
250,83,284,147
250,86,284,150
250,85,284,149
250,85,284,149
245,82,279,146
243,82,277,146
238,80,272,144
233,79,267,143
230,77,264,141
229,76,263,140
234,74,268,138
237,75,271,139
241,74,275,138
242,74,276,138
244,76,278,140
246,74,280,138
250,76,284,140
251,76,285,140
254,76,288,140
256,76,290,140
259,76,293,140
258,76,292,140
255,77,289,141
251,76,285,140
241,73,275,137
233,69,267,133
223,64,257,128
216,64,250,128
210,61,244,125
209,59,243,123
212,58,246,122
212,61,246,125
215,60,249,124
218,61,252,125
220,65,254,129
227,61,261,125
230,69,264,133
237,69,271,133
242,71,276,135
248,68,282,132
255,72,289,136
261,70,295,134
264,72,298,136
270,73,304,137
276,72,310,136
281,72,315,136
284,74,318,138
287,75,321,139
291,72,325,136
293,79,327,143
301,81,335,145
303,84,337,148
306,81,340,145
307,79,341,143
308,80,342,144
306,84,340,148
305,83,339,147
302,82,336,146
296,82,330,146
290,82,324,146
285,81,319,145
281,83,315,147
278,77,312,141
280,78,314,142
276,75,310,139
273,68,307,132
271,67,305,131
271,68,305,132
270,72,304,136
271,71,305,135
275,72,309,136
278,70,312,134
279,68,313,132
282,75,316,139
285,72,319,136
287,72,321,136
290,73,324,137
292,73,326,137
294,70,328,134
295,71,329,135
296,72,330,136
297,73,331,137
297,74,331,138
296,73,330,137
295,74,329,138
295,74,329,138
296,75,330,139
295,76,329,140
297,76,331,140
299,77,333,141
301,77,335,141
301,74,335,138
305,72,339,136
302,71,336,135
305,73,339,137
308,73,342,137
310,73,344,137
311,73,345,137
313,72,347,136
315,72,349,136
317,73,351,137
319,76,353,140
322,76,356,140
324,73,358,137
323,77,357,141
323,73,357,137
324,71,358,135
326,73,360,137
330,70,364,134
330,72,364,136
333,72,367,136
330,72,364,136
332,73,366,137
334,73,368,137
336,74,370,138
338,73,372,137
341,75,375,139
347,77,381,141
349,79,383,143
350,80,384,144
351,79,385,143
350,82,384,146
348,86,382,150
344,86,378,150
339,83,373,147
338,85,372,149
331,85,365,149
326,85,360,149
325,87,359,151
322,88,356,152
324,88,358,152
323,87,357,151
323,88,357,152
324,85,358,149
325,88,359,152
327,89,361,153
330,89,364,153
332,90,366,154
334,90,368,154
335,90,369,154
337,92,371,156
338,91,372,155
340,93,374,157
341,92,375,156
343,93,377,157
342,87,376,151
345,88,379,152
343,94,377,158
343,94,377,158
342,95,376,159
343,93,377,157
343,91,377,155
340,94,374,158
341,94,375,158
344,95,378,159
346,94,380,158
348,96,382,160
349,93,383,157
352,95,386,159
360,98,394,162
357,93,391,157
355,97,389,161
358,98,392,162
363,98,397,162
362,97,396,161
365,93,399,157
365,97,399,161
364,99,398,163
363,99,397,163
362,99,396,163
356,85,390,149
356,87,390,151
359,91,393,155
358,96,392,160
359,95,393,159
356,82,390,146
355,84,389,148
352,83,386,147
354,94,388,158
349,92,383,156
350,92,384,156
344,88,378,152
345,91,379,155
343,88,377,152
336,92,370,156
336,80,370,144
336,77,370,141
338,75,372,139
331,78,365,142
340,88,374,152
332,81,366,145
334,84,368,148
343,86,377,150
346,89,380,153
346,86,380,150
352,86,386,150
349,87,383,151
349,88,383,152
352,89,386,153
352,88,386,152
349,85,383,149
348,86,382,150
351,88,385,152
352,89,386,153
354,90,388,154
354,89,388,153
357,89,391,153
364,96,398,160
374,91,408,155
374,93,408,157
386,90,420,154
