x1,y1,x2,y2
269,75,303,139
264,72,298,137
263,69,298,135
259,67,295,135
254,64,291,134
248,61,286,133
241,58,279,131
235,57,274,130
229,55,268,128
225,52,264,126
221,50,260,124
216,48,255,122
210,47,249,121
204,46,243,120
197,46,236,120
189,44,228,118
180,42,220,117
171,42,211,118
162,41,203,118
154,41,195,118
147,41,188,119
142,40,184,119
138,39,180,118
134,38,176,117
129,37,171,117
123,35,165,115
117,33,159,113
112,31,155,112
108,29,151,110
104,26,147,107
98,22,141,103
91,18,134,99
84,16,127,97
75,14,118,95
64,13,107,94
53,12,96,93
43,11,86,92
34,10,77,91
27,8,70,90
21,7,64,89
15,6,58,88
9,5,52,87
3,4,46,86
-2,4,41,86
-8,4,35,85
-14,4,29,86
-20,4,24,87
-26,3,17,85
-32,2,11,83
-39,0,4,81
-39,-5,4,76
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
390,115,433,196
386,113,428,193
383,111,426,193
382,109,426,193
381,106,427,192
381,105,428,193
383,104,430,192
383,104,430,192
382,103,430,194
384,100,435,197
383,99,436,198
385,100,437,198
385,100,437,198
386,100,439,200
385,101,437,199
383,101,435,199
381,101,433,199
382,101,435,201
383,101,437,203
383,101,438,204
386,102,440,204
388,102,443,206
390,99,448,208
391,99,450,211
394,98,454,212
396,100,456,213
396,100,457,216
393,98,455,216
393,99,455,216
393,98,456,217
390,97,453,217
386,94,449,213
382,90,446,212
379,88,443,209
375,84,441,209
373,82,439,207
374,81,440,205
375,82,440,204
376,82,441,205
375,81,441,206
379,84,442,203
381,83,445,205
383,83,448,205
383,84,447,205
385,85,449,207
385,84,450,206
385,83,450,206
384,79,451,205
380,77,446,202
371,73,438,199
359,68,428,198
347,67,414,194
337,65,404,191
329,62,396,189
323,59,390,185
319,56,386,182
319,55,386,181
319,56,385,181
320,55,386,180
321,55,388,181
323,56,390,182
326,58,392,183
329,60,395,184
330,61,395,184
335,61,400,185
340,62,405,185
346,63,411,185
350,64,414,185
354,64,418,184
358,62,423,185
360,61,427,188
362,60,429,187
364,61,432,189
364,60,432,188
363,60,431,189
363,59,433,191
366,60,437,194
367,60,438,194
369,60,440,194
369,60,440,194
367,60,438,195
363,58,435,195
359,56,433,195
354,54,428,194
347,52,422,194
340,51,415,193
332,48,408,192
324,44,401,189
319,41,396,187
315,37,393,185
310,32,390,183
301,29,382,182
289,27,370,181
278,25,360,181
274,24,357,182
274,23,358,181
265,23,348,180
256,21,340,179
249,19,333,177
242,19,325,176
234,18,317,174
226,16,309,173
217,14,300,170
210,13,292,167
202,12,283,164
192,10,273,162
182,9,262,160
173,8,253,159
163,7,242,157
154,7,232,155
144,6,222,153
135,6,212,151
125,5,202,150
116,5,192,148
106,4,181,146
96,2,171,144
86,0,161,142
77,-3,153,140
67,-7,143,137
57,-10,133,134
47,-12,124,133
37,-15,114,130
27,-17,104,129
17,-19,94,127
7,-21,84,123
-1,-22,75,122
-10,-23,65,119
-11,-22,62,116
-22,-24,51,115
-31,-26,43,113
-44,-28,30,111
-51,-33,26,112
-76,-89,63,174
-74,-87,63,172
-86,-90,51,169
-96,-89,39,165
-108,-92,27,162
0,0,0,0
-111,-93,24,161
-160,-186,74,255
-171,-188,63,254
-185,-188,47,249
0,0,0,0
0,0,0,0
0,0,0,0
269,-50,501,387
258,-51,491,388
244,-53,478,387
225,-55,459,386
207,-59,444,387
189,-62,427,386
172,-64,411,385
160,-67,402,389
144,-69,385,386
130,-69,371,384
125,-73,370,390
123,-75,371,392
111,-77,360,391
105,-79,355,393
97,-80,348,393
95,-80,345,392
85,-78,333,389
74,-82,325,392
65,-81,314,388
55,-81,304,388
46,-81,294,386
36,-82,285,388
26,-83,277,389
16,-84,267,388
6,-84,257,389
-3,-83,246,386
-11,-80,234,382
-19,-76,221,377
-28,-76,212,375
-38,-74,199,372
-50,-76,188,373
-62,-75,175,372
-76,-80,165,375
-83,-76,153,369
-91,-73,141,365
-99,-72,132,362
-107,-71,122,360
-111,-65,111,354
-117,-60,100,348
-125,-56,88,345
-129,-49,76,337
-138,-47,64,334
-138,-47,64,333
-149,-49,53,332
-160,-49,41,330
-169,-43,25,323
-167,-53,27,313
-186,-61,17,321
-161,-57,42,325
0,0,0,0
0,0,0,0
-4,-40,199,342
-17,-41,185,341
-31,-42,172,340
-44,-42,158,339
-58,-44,144,337
-73,-44,130,338
-86,-44,116,337
-103,-46,99,335
-121,-49,83,336
-130,-50,74,335
-138,-50,66,335
-146,-48,56,332
-146,-35,42,319
-161,-40,31,322
-174,-45,24,328
-174,-45,24,328
-175,-44,23,329
-128,-44,70,329
-139,-38,54,325
-145,-38,49,328
-159,-38,36,330
-171,-37,24,331
-167,-27,11,308
-107,-72,71,263
-111,-73,68,265
-114,-76,70,271
-116,-80,73,275
-126,-76,59,273
-137,-75,48,274
-151,-76,35,275
-137,-47,13,236
-132,-46,18,237
0,0,0,0
-109,-41,41,242
-104,-40,46,243
-118,-39,32,243
-125,-41,27,245
-132,-40,19,246
-143,-44,12,248
40,-38,195,254
32,-38,187,254
