x1,y1,x2,y2
213,121,234,216
213,118,234,213
214,116,235,211
210,117,231,212
211,115,232,210
210,113,231,208
209,113,230,208
209,113,230,208
210,110,231,205
210,110,231,205
214,106,235,201
216,106,237,201
219,106,240,201
221,107,242,202
220,108,241,203
218,109,239,204
218,108,239,203
217,107,238,202
215,106,236,201
214,105,235,200
215,104,236,199
217,102,238,197
218,101,239,196
216,102,237,197
218,101,239,196
219,102,240,197
219,102,240,197
219,101,240,196
219,100,240,195
219,99,240,194
219,97,240,192
222,96,243,191
223,96,244,191
223,96,244,191
224,96,245,191
222,85,243,180
223,97,244,192
223,97,244,192
224,96,245,191
224,96,245,191
224,97,245,192
223,100,244,195
223,102,244,197
224,105,245,200
225,108,246,203
224,109,245,204
223,109,244,204
223,111,244,206
222,112,243,207
219,112,240,207
216,112,237,207
212,111,233,206
207,110,228,205
203,107,224,202
200,105,221,200
199,102,220,197
197,101,218,196
197,101,218,196
198,103,219,198
199,103,220,198
201,104,222,199
205,104,226,199
204,108,225,203
207,107,228,202
208,106,229,201
202,107,223,202
200,106,221,201
202,106,223,201
205,106,226,201
210,104,231,199
211,106,232,201
218,105,239,200
224,101,245,196
224,99,245,194
221,99,242,194
215,98,236,193
208,98,229,193
208,95,229,190
199,95,220,190
199,92,220,187
196,87,217,182
197,80,218,175
199,74,220,169
203,70,224,165
204,68,225,163
206,65,227,160
207,64,228,159
203,65,224,160
205,67,226,162
206,71,227,166
207,77,228,172
207,83,228,178
209,88,230,183
208,90,229,185
211,93,232,188
207,103,228,198
211,101,232,196
212,106,233,201
211,112,232,207
209,116,230,211
207,118,228,213
206,125,227,220
211,121,232,216
207,127,228,222
209,123,230,218
205,127,226,222
207,123,228,218
205,126,226,221
206,122,227,217
213,117,234,212
207,118,228,213
207,115,228,210
206,114,227,209
207,112,228,207
207,111,228,206
211,106,232,201
212,106,233,201
214,106,235,201
216,104,237,199
207,66,228,161
209,67,230,162
210,68,231,163
210,68,231,163
211,68,232,163
213,69,234,164
215,69,236,164
216,68,237,163
217,69,238,164
219,68,240,163
220,70,241,165
222,71,243,166
223,73,244,168
225,72,246,167
226,75,247,170
226,75,247,170
227,75,248,170
228,76,249,171
229,76,250,171
231,71,252,166
232,72,253,167
233,71,254,166
240,66,261,161
243,65,264,160
243,64,264,159
247,49,268,144
252,48,273,143
256,48,277,143
259,47,280,142
262,47,283,142
266,47,287,142
268,47,289,142
271,47,292,142
274,47,295,142
278,46,299,141
281,45,302,140
285,45,306,140
289,44,310,139
292,45,313,140
296,44,317,139
301,43,322,138
305,44,326,139
310,44,331,139
314,44,335,139
318,45,339,140
322,45,343,140
326,45,347,140
330,44,351,139
332,45,353,140
325,12,346,107
328,12,349,107
330,12,351,107
332,13,353,108
332,15,353,110
332,14,353,109
332,15,353,110
323,0,344,95
325,0,346,95
326,0,347,95
328,0,349,95
332,0,353,95
331,69,352,164
332,69,353,164
323,32,344,127
326,32,347,127
329,33,350,128
332,34,353,129
329,8,350,103
322,68,343,163
325,69,346,164
328,70,349,165
332,71,353,166
327,74,348,169
332,73,353,168
329,70,350,165
332,71,353,166
325,67,346,162
318,75,339,170
321,75,342,170
324,75,345,170
327,75,348,170
330,76,351,171
324,76,345,171
325,77,346,172
327,78,348,173
329,79,350,174
332,80,353,175
327,80,348,175
324,78,345,173
327,78,348,173
330,79,351,174
327,81,348,176
324,82,345,177
327,86,348,181
332,91,353,186
332,96,353,191
329,100,350,195
332,104,353,199
327,113,348,208
330,116,351,211
325,122,346,217
329,123,350,218
332,125,353,220
323,121,344,216
330,129,351,224
326,123,347,218
329,126,350,221
332,124,353,219
332,124,353,219
329,119,350,214
332,120,353,215
323,142,344,237
314,147,335,242
316,147,337,242
319,147,340,242
315,150,336,245
308,148,329,243
302,144,323,239
303,144,324,239
305,145,326,240
308,145,329,240
312,146,333,241
316,146,337,241
320,147,341,242
323,148,344,243
327,149,348,244
332,150,353,245
328,143,349,238
324,138,345,233
324,135,345,230
326,134,347,229
330,134,351,229
331,133,352,228
322,127,343,222
325,126,346,221
329,125,350,220
332,124,353,219
329,118,350,213
331,117,352,212
332,116,353,211
328,111,349,206
322,105,343,200
327,108,348,203
329,107,350,202
332,109,353,204
332,109,353,204
332,108,353,203
332,109,353,204
332,107,353,202
332,108,353,203
323,70,344,165
317,47,338,142
320,49,341,144
321,48,342,143
323,47,344,142
323,48,344,143
323,49,344,144
324,50,345,145
326,50,347,145
327,50,348,145
327,50,348,145
328,50,349,145
330,50,351,145
331,49,352,144
332,48,353,143
332,47,353,142
332,43,353,138
332,41,353,136
332,30,353,125
332,30,353,125
332,30,353,125
332,29,353,124
326,39,347,134
329,36,350,131
332,33,353,128
327,30,348,125
321,28,342,123
319,30,340,125
320,33,341,128
321,33,342,128
321,33,342,128
323,33,344,128
324,33,345,128
325,33,346,128
326,33,347,128
328,33,349,128
330,34,351,129
331,34,352,129
332,35,353,130
332,35,353,130
332,38,353,133
332,39,353,134
332,41,353,136
332,42,353,137
332,41,353,136
